screen_id,route,page_widget,layout_pattern,vpc_owner_file,rules_1_6_status,l1,l2,l5,l3,exception_reason
SC-091,AppRoutePaths.tradeMarginLiveMarketDataAnalytics,LiveMarketDataAnalyticsPage,direct_vpc,features/trade/presentation/pages/live_market_data_analytics_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-089,AppRoutePaths.tradeMarginMarketDataAnalytics,MarketDataAnalyticsPage,direct_vpc,features/trade/presentation/pages/market_data_analytics_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-051,AppRoutePaths.tradeOrderReceipt,OrderReceiptPage,direct_vpc,features/trade/presentation/pages/order_receipt_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-050,AppRoutePaths.tradeOrdersHistory,OrdersHistoryPage,shared_shell,features/trade/presentation/pages/orders_history_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-053,AppRoutePaths.tradePositions,PositionDashboardPage,shared_shell,features/trade/presentation/pages/position_dashboard_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-060,AppRoutePaths.tradeRiskManagement,RiskManagementDemoPage,direct_vpc,features/trade/presentation/pages/risk_management_demo_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-052,AppRoutePaths.tradeSettings,TradeSettingsPage,shared_shell,features/trade/presentation/pages/trade_settings_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-321,AppRoutePaths.unifiedPortfolio,UnifiedPortfolioDashboard,shared_shell,features/cross_module/presentation/pages/unified_portfolio_dashboard.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-135,AppRoutePaths.wallet,WalletPage,direct_vpc,features/wallet/presentation/pages/wallet_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-144,AppRoutePaths.walletAddressBook,AddressBookPage,direct_vpc,features/wallet/presentation/pages/address_book_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-143,AppRoutePaths.walletAddressBookAdd,AddressAddPage,direct_vpc,features/wallet/presentation/pages/address_add_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-145,AppRoutePaths.walletBuyCrypto,BuyCryptoPage,shared_shell,features/wallet/presentation/pages/buy_crypto_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
