module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
earn,earn/presentation/widgets/savings_analytics_summary_range.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn,earn/presentation/widgets/savings_autopilot_overview.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/savings_backtest_setup.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn,earn/presentation/widgets/savings_backtest_setup.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/savings_dca_summary.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/savings_export_config_widgets.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/savings_export_option_widgets.dart,VitPresetChipRow,preset_row,2,34,equal_full,-,pass,
earn,earn/presentation/widgets/savings_faq_page_sections.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/widgets/savings_guide_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/savings_history_page_sections.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/widgets/savings_history_page_sections.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn,earn/presentation/widgets/savings_home_products.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn,earn/presentation/widgets/savings_home_products.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/savings_ladder_common.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn,earn/presentation/widgets/savings_ladder_common.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/savings_notification_preferences_summary.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
earn,earn/presentation/widgets/savings_notifications_history.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/savings_portfolio_positions.dart,VitTabBar,pill_wrap,1,~28,wrap_hug,-,review,
earn,earn/presentation/widgets/savings_smart_suggestions_summary.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/widgets/savings_smart_suggestions_summary.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/staking_advanced_orders_overview_orders.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/staking_advanced_orders_sheet_fields.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn,earn/presentation/widgets/staking_api_documentation_common.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/widgets/staking_api_documentation_examples.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/widgets/staking_audit_reports_hero_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/staking_earn_hero_tabs.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn,earn/presentation/widgets/staking_earn_hero_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/staking_earnings_summary_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/staking_guide_page_sections.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/staking_history_summary_filters.dart,VitChoicePill,chip,2,44,hug,-,pass,
